Event	ID	Name			Wwise Object Path	Notes
	317282339	Weather			\Default Work Unit\Weather	
	450457492	TeenPlayerFootstep			\Default Work Unit\Player Footsteps\TeenPlayerFootstep	
	496050709	Volcano_Explosion			\Default Work Unit\Volcano_Explosion	
	535830432	Door_Open			\Default Work Unit\Door_Open	
	969514050	ToddlerPlayerFootstep			\Default Work Unit\Player Footsteps\ToddlerPlayerFootstep	
	1436086644	Tv_Static			\Default Work Unit\Tv_Static	
	1900150648	Wood_Floor_Jump_land			\Default Work Unit\Wood_Floor_Jump_land	
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	2674457354	Start_Button			\Default Work Unit\Start_Button	
	2886972203	Back_Button			\Default Work Unit\Back_Button	
	3061740098	AdultPlayerFootstep			\Default Work Unit\Player Footsteps\AdultPlayerFootstep	
	3303107572	ChildPlayerFootstep			\Default Work Unit\Player Footsteps\ChildPlayerFootstep	
	3420485851	Volcano_Hiss			\Default Work Unit\Volcano_Hiss	

Switch Group	ID	Name			Wwise Object Path	Notes
	2775722229	Teen_Footsteps			\Default Work Unit\Teen_Footsteps	

Switch	ID	Name	Switch Group			Notes
	1088209313	Floor	Teen_Footsteps			
	2412606308	Carpet	Teen_Footsteps			

State Group	ID	Name			Wwise Object Path	Notes
	317282339	Weather			\Default Work Unit\Weather	

State	ID	Name	State Group			Notes
	748895195	None	Weather			
	3205863813	Indoor_Rain	Weather			
	4103860031	Indoors	Weather			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	35307580	Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Teen_Footsteps_carpet\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881		24596
	54265631	Inside house	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Inside house_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weather\Inside house		34752096
	64261832	Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 1	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 1_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Teen_Footsteps_carpet\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 1		31130
	126038618	Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 10	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 10_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Teen_Footsteps_carpet\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 10		28680
	130049611	Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 3	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 3_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Teen_Footsteps_carpet\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 3		22964
	149217514	Tv_Static	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Electricity, Buzz & Hum, Electric, Light, Neon, Loop SND5752 1_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tv_Static		323420
	159103562	Footsteps, Human, Wood, Creaky, Sneaker, Medium SND1113 2	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Wood, Creaky, Sneaker, Medium SND1113 2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Teen_footsteps_wood\Footsteps, Human, Wood, Creaky, Sneaker, Medium SND1113 2		29658
	163949530	Volcano_Explosion	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Volcano_Explosion_F98F5800.wem		\Actor-Mixer Hierarchy\Default Work Unit\Volcano_Explosion		827316
	362887173	Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 7	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 7_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Teen_Footsteps_carpet\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 7		22146
	377645377	Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 5	K:\Abertay\2054\2054\2054_WwiseProject\.cache\Windows\SFX\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 5_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps\Teen_Footsteps_carpet\Footsteps, Human, Sneakers, Carpet, Wood, Walk, Close SND127881 5		21330
